country,mw,tier,tier_name,cfe_pct_mean,cfe_lift_pp_mean,ci_weighted_mean,p95_slowdown_mean,co2_tonnes_y_mean
FR,1.0000,5,T5,51.6590,0.6794,53.3079,172.6894,4.0147
FR,10.0000,0,T0,51.7641,0.0000,53.2767,172.4286,37.9432
FR,10.0000,1,T1,53.0619,1.2977,52.4421,72.4551,37.6782
FR,10.0000,2,T2,52.1771,0.4129,53.3287,159.1382,37.8709
FR,10.0000,3,T3,52.1770,0.4129,53.3287,159.1382,37.8709
FR,10.0000,4,T4,53.5720,1.8078,53.2925,151.2749,37.5916
FR,10.0000,5,T5,52.1771,0.4129,53.3287,159.1382,37.8709
FR,50.0000,0,T0,51.8078,0.0000,53.2853,170.7893,188.6963
FR,50.0000,1,T1,53.0896,1.2817,52.4453,71.5507,187.3946
FR,50.0000,2,T2,52.2447,0.4369,53.3278,157.9583,188.3118
FR,50.0000,3,T3,52.2447,0.4368,53.3278,157.9583,188.3118
FR,50.0000,4,T4,53.5939,1.7861,53.2982,150.1055,186.9680
FR,50.0000,5,T5,52.2447,0.4369,53.3278,157.9583,188.3118
IT,1.0000,0,T0,60.9331,0.0000,247.2737,181.0000,18.2974
IT,1.0000,1,T1,62.4029,1.4698,239.9520,72.4769,18.0836
IT,1.0000,2,T2,61.7481,0.8149,247.1356,172.6894,18.1875
IT,1.0000,3,T3,61.7479,0.8148,247.1356,172.6894,18.1875
IT,1.0000,4,T4,64.1098,3.1767,246.3384,152.9736,17.8493
IT,1.0000,5,T5,61.7481,0.8149,247.1356,172.6894,18.1875
IT,10.0000,0,T0,61.8742,0.0000,246.8828,172.4286,171.8166
IT,10.0000,1,T1,63.4308,1.5566,240.1115,72.4551,169.6854
IT,10.0000,2,T2,62.3695,0.4953,247.3041,159.1382,171.1930
IT,10.0000,3,T3,62.3695,0.4952,247.3041,159.1382,171.1931
IT,10.0000,4,T4,64.2523,2.3781,247.0861,144.3850,168.6431
IT,10.0000,5,T5,62.3695,0.4953,247.3041,159.1382,171.1930
IT,50.0000,0,T0,61.9266,0.0000,246.9522,170.7893,854.3098
IT,50.0000,1,T1,63.4640,1.5374,240.1369,71.5507,843.8405
IT,50.0000,2,T2,62.4507,0.5241,247.2971,157.9583,851.0084
IT,50.0000,3,T3,62.4506,0.5240,247.2971,157.9583,851.0089
IT,50.0000,4,T4,64.2765,2.3499,247.2227,145.6811,838.7082
IT,50.0000,5,T5,62.4507,0.5241,247.2971,157.9583,851.0084
PL,1.0000,0,T0,61.0147,0.0000,577.7976,181.0000,42.4719
PL,1.0000,1,T1,62.4873,1.4726,558.3457,72.4769,41.9051
PL,1.0000,2,T2,61.8312,0.8165,577.4307,172.6894,42.1776
PL,1.0000,3,T3,61.8311,0.8164,577.4307,172.6894,42.1777
PL,1.0000,4,T4,64.1976,3.1829,575.3126,152.9736,41.2792
PL,1.0000,5,T5,61.8312,0.8165,577.4307,172.6894,42.1776
PL,10.0000,0,T0,61.9576,0.0000,576.7592,172.4286,398.3935
PL,10.0000,1,T1,63.5171,1.5595,558.7693,72.4551,392.7396
PL,10.0000,2,T2,62.4539,0.4963,577.8783,159.1382,396.7207
PL,10.0000,3,T3,62.4538,0.4962,577.8783,159.1382,396.7210
PL,10.0000,4,T4,64.3402,2.3826,577.2990,144.3850,389.9462
PL,10.0000,5,T5,62.4539,0.4963,577.8783,159.1382,396.7207
PL,50.0000,0,T0,62.0101,0.0000,576.9434,170.7893,1980.7804
PL,50.0000,1,T1,63.5504,1.5403,558.8370,71.5507,1953.0054
PL,50.0000,2,T2,62.5352,0.5251,577.8597,157.9583,1971.9321
PL,50.0000,3,T3,62.5351,0.5250,577.8597,157.9583,1971.9335
PL,50.0000,4,T4,64.3644,2.3543,577.6622,145.6811,1939.2541
PL,50.0000,5,T5,62.5352,0.5251,577.8597,157.9583,1971.9321
SE,1.0000,0,T0,43.7768,0.0000,11.3298,181.0000,0.8638
SE,1.0000,1,T1,44.8244,1.0476,11.2049,72.4769,0.8601
SE,1.0000,2,T2,44.3576,0.5809,11.3275,172.6894,0.8621
SE,1.0000,3,T3,44.3575,0.5808,11.3275,172.6894,0.8621
SE,1.0000,4,T4,45.4509,1.6741,11.3153,167.5619,0.8584
SE,1.0000,5,T5,44.3576,0.5809,11.3275,172.6894,0.8621
SE,10.0000,0,T0,44.4475,0.0000,11.3231,172.4286,8.1497
SE,10.0000,1,T1,45.5570,1.1095,11.2077,72.4551,8.1127
SE,10.0000,2,T2,44.8006,0.3530,11.3303,159.1382,8.1405
SE,10.0000,3,T3,44.8005,0.3530,11.3303,159.1382,8.1405
SE,10.0000,4,T4,45.8253,1.3777,11.3188,152.9736,8.1073
SE,10.0000,5,T5,44.8006,0.3530,11.3303,159.1382,8.1405
SE,50.0000,0,T0,44.4849,0.0000,11.3243,170.7893,40.5330
SE,50.0000,1,T1,45.5807,1.0958,11.2081,71.5507,40.3510
SE,50.0000,2,T2,44.8584,0.3735,11.3302,157.9583,40.4837
SE,50.0000,3,T3,44.8584,0.3735,11.3302,157.9583,40.4837
SE,50.0000,4,T4,45.8494,1.3645,11.3205,152.9736,40.3240
SE,50.0000,5,T5,44.8584,0.3735,11.3302,157.9583,40.4837
